Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.50
Upper Discriminator:,1769
Lower Discriminator:,11
Calibration Coefficients:,7.407407407407407E-5,1.6222962962962963,-11.526370370435401
Calibration Channels:,82,157,217
Calibration Energies:,122.0,245.0,344.0
Elapsed Real Time:,92.68
Elapsed Live Time:,77.6
Start Time:,April 24, 2023, 03:58:11
End Time:,April 24, 2023, 03:59:44
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,687,711,5518,342,4,1158

Channel Data:
Channel,Energy,Counts
0,-11.526370370435401,0
1,-9.90400000006503,0
2,-8.281481481546512,0
3,-6.658814814879846,0
4,-5.036000000065031,0
5,-3.413037037102068,0
6,-1.789925925990957,0
7,-0.16666666673169672,1
8,1.456740740675711,0
9,3.080296296231266,359
10,4.703999999934968,17089
11,6.327851851786818,45971
12,7.95185185178682,12340
13,9.575999999934972,6633
14,11.200296296231265,7246
15,12.824740740675708,8619
16,14.449333333268303,11505
17,16.074074074009047,14577
18,17.698962962897934,16513
19,19.32399999993497,18421
20,20.949185185120157,20656
21,22.574518518453488,23380
22,24.199999999934967,25534
23,25.825629629564595,26812
24,27.45140740734238,28233
25,29.077333333268307,28818
26,30.703407407342382,28312
27,32.3296296295646,26697
28,33.95599999993497,24305
29,35.58251851845349,20384
30,37.209185185120155,16170
31,38.83599999993497,12315
32,40.46296296289793,8573
33,42.090074074009046,5673
34,43.71733333326831,3858
35,45.34474074067571,2231
36,46.972296296231264,1407
37,48.59999999993497,778
38,50.227851851786816,542
39,51.855851851786824,370
40,53.483999999934966,321
41,55.112296296231264,282
42,56.74074074067572,244
43,58.369333333268315,251
44,59.99807407400904,268
45,61.626962962897935,268
46,63.25599999993497,263
47,64.88518518512015,261
48,66.51451851845349,272
49,68.14399999993498,312
50,69.77362962956461,307
51,71.40340740734239,281
52,73.03333333326832,301
53,74.66340740734238,303
54,76.29362962956459,281
55,77.92399999993496,300
56,79.55451851845349,279
57,81.18518518512016,262
58,82.81599999993497,293
59,84.44696296289794,278
60,86.07807407400904,227
61,87.7093333332683,250
62,89.34074074067571,247
63,90.97229629623126,242
64,92.60399999993497,253
65,94.23585185178682,229
66,95.86785185178682,245
67,97.49999999993497,247
68,99.13229629623127,216
69,100.7647407406757,206
70,102.3973333332683,219
71,104.03007407400905,226
72,105.66296296289794,216
73,107.29599999993498,204
74,108.92918518512016,190
75,110.5625185184535,185
76,112.19599999993497,194
77,113.8296296295646,212
78,115.46340740734237,214
79,117.09733333326831,221
80,118.73140740734239,198
81,120.3656296295646,212
82,121.99999999993499,235
83,123.6345185184535,230
84,125.26918518512018,171
85,126.90399999993498,225
86,128.53896296289793,204
87,130.17407407400907,202
88,131.80933333326828,197
89,133.44474074067568,230
90,135.08029629623127,205
91,136.71599999993498,196
92,138.35185185178682,200
93,139.98785185178684,203
94,141.623999999935,197
95,143.26029629623127,221
96,144.89674074067574,212
97,146.53333333326833,197
98,148.17007407400905,220
99,149.80696296289796,196
100,151.443999999935,234
101,153.08118518512015,217
102,154.7185185184535,203
103,156.35599999993497,211
104,157.99362962956462,195
105,159.63140740734235,215
106,161.26933333326832,215
107,162.90740740734236,203
108,164.5456296295646,192
109,166.183999999935,193
110,167.82251851845348,209
111,169.46118518512014,228
112,171.099999999935,208
113,172.73896296289792,207
114,174.37807407400908,221
115,176.0173333332683,205
116,177.65674074067573,207
117,179.29629629623128,218
118,180.935999999935,222
119,182.57585185178687,205
120,184.2158518517868,229
121,185.85599999993497,212
122,187.49629629623126,217
123,189.1367407406757,237
124,190.7773333332683,229
125,192.41807407400904,225
126,194.0589629628979,223
127,195.69999999993496,192
128,197.34118518512014,223
129,198.9825185184535,241
130,200.623999999935,224
131,202.26562962956461,219
132,203.90740740734236,250
133,205.5493333332683,259
134,207.1914074073424,250
135,208.8336296295646,220
136,210.47599999993497,233
137,212.11851851845347,275
138,213.76118518512015,260
139,215.40399999993497,256
140,217.0469629628979,261
141,218.69007407400903,275
142,220.33333333326829,287
143,221.97674074067572,260
144,223.6202962962313,288
145,225.26399999993498,285
146,226.90785185178686,274
147,228.5518518517868,269
148,230.195999999935,291
149,231.84029629623126,282
150,233.4847407406757,265
151,235.12933333326833,303
152,236.77407407400904,257
153,238.41896296289792,258
154,240.063999999935,286
155,241.70918518512013,270
156,243.35451851845346,249
157,244.99999999993497,266
158,246.6456296295646,284
159,248.29140740734238,242
160,249.93733333326827,277
161,251.58340740734235,247
162,253.2296296295646,235
163,254.87599999993495,263
164,256.52251851845347,262
165,258.1691851851201,221
166,259.815999999935,242
167,261.4629629628979,253
168,263.11007407400905,263
169,264.75733333326826,241
170,266.4047407406757,233
171,268.05229629623125,266
172,269.69999999993496,253
173,271.3478518517868,220
174,272.9958518517868,234
175,274.643999999935,255
176,276.29229629623126,243
177,277.9407407406757,240
178,279.58933333326826,238
179,281.23807407400903,243
180,282.8869629628979,258
181,284.535999999935,240
182,286.18518518512013,268
183,287.8345185184535,224
184,289.48399999993495,247
185,291.1336296295646,238
186,292.78340740734234,203
187,294.4333333332683,228
188,296.08340740734235,222
189,297.73362962956463,246
190,299.383999999935,206
191,301.0345185184535,224
192,302.68518518512013,218
193,304.3359999999349,268
194,305.9869629628979,232
195,307.638074074009,242
196,309.2893333332683,214
197,310.94074074067566,225
198,312.59229629623127,229
199,314.24399999993494,220
200,315.89585185178686,245
201,317.5478518517868,242
202,319.19999999993496,216
203,320.85229629623126,231
204,322.50474074067574,195
205,324.1573333332683,217
206,325.81007407400904,230
207,327.4629629628979,185
208,329.115999999935,193
209,330.76918518512014,203
210,332.42251851845344,178
211,334.075999999935,201
212,335.72962962956456,203
213,337.38340740734236,193
214,339.0373333332683,204
215,340.6914074073424,189
216,342.3456296295646,196
217,343.99999999993497,210
218,345.6545185184535,210
219,347.30918518512016,188
220,348.96399999993497,197
221,350.61896296289797,204
222,352.27407407400904,175
223,353.92933333326835,196
224,355.5847407406757,200
225,357.24029629623124,200
226,358.895999999935,212
227,360.5518518517868,190
228,362.2078518517868,180
229,363.86399999993495,195
230,365.52029629623127,160
231,367.1767407406757,171
232,368.83333333326834,183
233,370.49007407400904,183
234,372.14696296289793,186
235,373.80399999993494,178
236,375.4611851851202,168
237,377.11851851845347,199
238,378.775999999935,172
239,380.4336296295646,188
240,382.09140740734233,152
241,383.7493333332683,175
242,385.40740740734236,183
243,387.0656296295646,166
244,388.72399999993496,170
245,390.3825185184535,179
246,392.0411851851201,169
247,393.69999999993496,167
248,395.3589629628979,160
249,397.01807407400906,145
250,398.6773333332683,156
251,400.33674074067574,157
252,401.99629629623126,161
253,403.655999999935,183
254,405.3158518517868,176
255,406.97585185178684,171
256,408.635999999935,184
257,410.2962962962312,160
258,411.9567407406757,171
259,413.6173333332683,159
260,415.27807407400906,171
261,416.9389629628979,148
262,418.599999999935,157
263,420.26118518512015,175
264,421.9225185184535,159
265,423.583999999935,164
266,425.24562962956463,170
267,426.90740740734236,164
268,428.56933333326833,142
269,430.2314074073424,142
270,431.8936296295646,166
271,433.55599999993495,176
272,435.2185185184535,154
273,436.88118518512016,157
274,438.54399999993495,151
275,440.20696296289793,150
276,441.87007407400904,146
277,443.53333333326833,175
278,445.1967407406757,160
279,446.8602962962313,156
280,448.523999999935,172
281,450.18785185178683,145
282,451.8518518517868,157
283,453.515999999935,147
284,455.18029629623123,144
285,456.8447407406757,145
286,458.5093333332683,136
287,460.17407407400907,155
288,461.83896296289794,172
289,463.50399999993493,150
290,465.16918518512017,168
291,466.8345185184535,148
292,468.49999999993497,136
293,470.1656296295646,165
294,471.8314074073424,156
295,473.4973333332683,138
296,475.1634074073424,159
297,476.8296296295646,179
298,478.495999999935,151
299,480.16251851845345,150
300,481.8291851851202,152
301,483.49599999993495,152
302,485.16296296289795,145
303,486.830074074009,150
304,488.4973333332683,150
305,490.1647407406757,156
306,491.8322962962312,137
307,493.49999999993497,164
308,495.1678518517868,156
