Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.50
Upper Discriminator:,1350
Lower Discriminator:,2
Calibration Coefficients:,-4.625424416207755E-4,1.7945540655134389,-22.043297994554017
Calibration Channels:,82,155,216
Calibration Energies:,122.0,245.0,344.0
Elapsed Real Time:,144.04
Elapsed Live Time:,126.49
Start Time:,April 24, 2023, 04:57:47
End Time:,April 24, 2023, 05:01:16
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,309,325,2954,206,5,500

Channel Data:
Channel,Energy,Counts
0,-22.043297994554017,0
1,-20.2492064714822,0
2,-18.456040033293622,0
3,-16.663798679988286,0
4,-14.872482411566192,0
5,-13.082091228027343,0
6,-11.292625129371732,0
7,-9.504084115599362,0
8,-7.716468186710236,0
9,-5.929777342704352,368
10,-4.144011583581708,21914
11,-2.3591709093423034,59918
12,-0.575255319986141,14778
13,1.2077351844867756,7683
14,2.989800604076457,8422
15,4.770940938782893,10201
16,6.551156188606086,13332
17,8.33044635354604,16097
18,10.108811433602753,17917
19,11.88625142877622,19422
20,13.662766339066444,21249
21,15.43835616447344,22177
22,17.213020904997187,22854
23,18.98676056063769,22730
24,20.759575131394946,22576
25,22.531464617268966,21581
26,24.30242901825975,19886
27,26.072468334367287,17532
28,27.841582565591587,14753
29,29.609771711932638,11627
30,31.377035773390453,8752
31,33.14337474996503,6063
32,34.90878864165635,4036
33,36.67327744846444,2643
34,38.436841170389286,1609
35,40.19947980743089,897
36,41.96119335958925,594
37,43.72198182686437,375
38,45.48184520925626,270
39,47.24078350676489,197
40,48.99879671939029,228
41,50.75588484713246,202
42,52.51204788999137,195
43,54.26728584796705,210
44,56.02159872105947,205
45,57.774986509268665,226
46,59.52744921259461,236
47,61.27898683103732,221
48,63.029599364596784,218
49,64.77928681327302,265
50,66.52804917706598,219
51,68.27588645597572,210
52,70.02279865000222,244
53,71.76878575914549,217
54,73.51384778340551,244
55,75.25798472278228,228
56,77.0011965772758,246
57,78.74348334688611,202
58,80.48484503161316,241
59,82.22528163145697,213
60,83.96479314641752,201
61,85.70337957649485,210
62,87.44104092168894,182
63,89.17777718199977,165
64,90.91358835742739,198
65,92.64847444797172,179
66,94.38243545363284,170
67,96.11547137441073,195
68,97.84758221030535,182
69,99.57876796131674,178
70,101.30902862744489,188
71,103.03836420868981,177
72,104.76677470505146,187
73,106.49426011652989,177
74,108.22082044312506,175
75,109.94645568483702,163
76,111.67116584166573,178
77,113.39495091361118,164
78,115.11781090067339,178
79,116.83974580285238,155
80,118.56075562014811,184
81,120.28084035256063,156
82,122.00000000008987,173
83,123.71823456273589,171
84,125.43554404049866,161
85,127.15192843337817,162
86,128.86738774137447,186
87,130.58192196448752,155
88,132.29553110271732,173
89,134.00821515606387,180
90,135.7199741245272,188
91,137.43080800810728,190
92,139.1407168068041,152
93,140.84970052061772,169
94,142.55775914954805,181
95,144.26489269359516,176
96,145.97110115275905,187
97,147.67638452703966,175
98,149.38074281643705,179
99,151.0841760209512,187
100,152.7866841405821,193
101,154.48826717532975,187
102,156.18892512519417,170
103,157.88865799017537,183
104,159.5874657702733,153
105,161.285348465488,151
106,162.98230607581945,150
107,164.67833860126765,156
108,166.37344604183264,178
109,168.06762839751437,180
110,169.76088566831285,186
111,171.45321785422811,175
112,173.14462495526013,168
113,174.8351069714089,181
114,176.52466390267443,185
115,178.2132957490567,170
116,179.90100251055574,188
117,181.58778418717154,184
118,183.27364077890408,169
119,184.9585722857534,172
120,186.64257870771948,168
121,188.3256600448023,195
122,190.0078162970019,163
123,191.68904746431824,195
124,193.36935354675137,209
125,195.04873454430123,180
126,196.72719045696783,203
127,198.40472128475122,188
128,200.08132702765135,184
129,201.75700768566827,221
130,203.4317632588019,184
131,205.10559374705232,196
132,206.77849915041952,195
133,208.45047946890344,219
134,210.12153470250414,199
135,211.79166485122158,225
136,213.46086991505578,203
137,215.12914989400676,198
138,216.7965047880745,194
139,218.46293459725896,200
140,220.1284393215602,208
141,221.7930189609782,207
142,223.45667351551296,230
143,225.1194029851645,210
144,226.78120736993276,231
145,228.44208666981783,205
146,230.1020408848196,185
147,231.76107001493816,199
148,233.41917406017345,213
149,235.07635302052554,210
150,236.73260689599434,209
151,238.38793568657994,188
152,240.0423393922823,186
153,241.6958180131014,227
154,243.34837154903724,215
155,245.0000000000899,196
156,246.65070336625925,203
157,248.3004816475454,204
158,249.94933484394826,208
159,251.59726295546793,201
160,253.24426598210434,193
161,254.8903439238575,185
162,256.5354967807275,218
163,258.17972455271416,199
164,259.82302723981763,206
165,261.4654048420378,183
166,263.10685735937477,210
167,264.7473847918285,196
168,266.38698713939897,192
169,268.0256644020862,194
170,269.6634165798902,194
171,271.30024367281095,177
172,272.9361456808485,195
173,274.5711226040027,202
174,276.2051744422738,175
175,277.83830119566153,194
176,279.4705028641661,186
177,281.1017794477874,194
178,282.7321309465255,182
179,284.3615573603803,168
180,285.9900586893519,183
181,287.6176349334402,188
182,289.2442860926453,201
183,290.8700121669672,195
184,292.49481315640577,187
185,294.1186890609611,176
186,295.7416398806333,164
187,297.3636656154222,173
188,298.98476626532783,185
189,300.6049418303502,176
190,302.2241923104894,169
191,303.8425177057453,148
192,305.459918016118,175
193,307.0763932416075,173
194,308.69194338221365,160
195,310.3065684379366,169
196,311.92026840877634,172
197,313.5330432947328,150
198,315.144893095806,171
199,316.75581781199605,160
200,318.3658174433028,172
201,319.9748919897263,193
202,321.5830414512665,167
203,323.19026582792355,151
204,324.79656511969733,142
205,326.4019393265879,139
206,328.00638844859515,133
207,329.60991248571924,160
208,331.2125114379601,123
209,332.81418530531766,149
210,334.41493408779195,147
211,336.0147577853831,171
212,337.6136563980909,154
213,339.21162992591553,164
214,340.8086783688569,156
215,342.404801726915,162
216,344.00000000008987,136
217,345.5942731883815,142
218,347.1876212917899,117
219,348.78004431031513,142
220,350.371542243957,146
221,351.9621150927157,147
222,353.5517628565911,141
223,355.1404855355833,155
224,356.72828312969233,153
225,358.315155638918,134
226,359.9011030632605,141
227,361.48612540271967,130
228,363.0702226572957,123
229,364.6533948269884,126
230,366.2356419117979,135
231,367.8169639117242,125
232,369.3973608267672,129
233,370.97683265692694,126
234,372.5553794022035,129
235,374.1330010625968,118
236,375.7096976381069,135
237,377.28546912873367,140
238,378.86031553447725,117
239,380.4342368553376,129
240,382.0072330913147,134
241,383.5793042424085,132
242,385.15045030861916,122
243,386.72067128994644,122
244,388.28996718639064,129
245,389.8583379979515,141
246,391.4257837246291,128
247,392.99230436642347,128
248,394.5578999233347,117
249,396.1225703953626,111
250,397.6863157825073,123
251,399.2491360847687,120
252,400.8110313021469,120
253,402.3720014346418,122
254,403.93204648225355,119
255,405.49116644498196,116
256,407.0493613228272,130
257,408.60663111578924,130
258,410.16297582386795,112
259,411.7183954470635,124
260,413.2728899853757,115
261,414.8264594388047,127
262,416.3791038073505,101
263,417.93082309101305,112
264,419.48161728979227,109
265,421.03148640368835,134
266,422.5804304327011,109
267,424.12844937683076,103
268,425.67554323607703,105
269,427.2217120104401,116
270,428.76695569991995,121
271,430.3112743045166,121
272,431.8546678242299,125
273,433.39713625906006,140
274,434.9386796090069,113
275,436.47929787407054,114
276,438.01899105425093,105
277,439.5577591495481,143
278,441.09560215996197,127
279,442.6325200854927,129
280,444.16851292614007,117
281,445.70358068190427,118
282,447.2377233527852,121
283,448.7709409387829,120
284,450.3032334398973,113
285,451.8346008561286,129
286,453.3650431874766,140
287,454.89456043394125,120
288,456.42315259552277,104
289,457.95081967222103,118
290,459.4775616640361,138
291,461.00337857096787,130
292,462.5282703930163,138
293,464.05223713018165,143
294,465.5752787824637,144
295,467.09739534986255,146
296,468.618586832378,142
297,470.13885323001034,156
298,471.6581945427595,143
299,473.1766107706253,142
300,474.6941019136078,149
301,476.2106679717072,136
302,477.72630894492335,166
303,479.24102483325623,159
304,480.7548156367058,162
305,482.2676813552722,147
306,483.7796219889554,156
307,485.2906375377553,170
308,486.80072800167187,177
309,488.3098933807053,172
310,489.8181336748555,168
311,491.32544888412247,171
312,492.8318390085061,173
313,494.33730404800656,203
314,495.8418440026238,192
315,497.3454588723579,187
316,498.8481486572085,181
317,500.349913357176,171
318,501.85075297226024,161
319,503.3506675024613,181
320,504.84965694777895,174
321,506.3477213082135,166
322,507.8448605837648,192
323,509.34107477443285,166
324,510.83636388021773,145
325,512.3307279011192,151
326,513.8241668371376,161
327,515.3166806882726,154
328,516.8082694545245,168
329,518.298933135893,139
330,519.7886717323784,147
331,521.2774852439805,135
332,522.7653736706994,132
333,524.2523370125349,130
334,525.7383752694874,122
335,527.2234884415565,131
336,528.7076765287425,122
337,530.190939531045,125
338,531.6732774484644,115
339,533.1546902810006,122
340,534.6351780286536,111
341,536.1147406914232,124
342,537.5933782693097,115
343,539.0710907623129,102
344,540.5478781704329,96
345,542.0237404936696,125
346,543.4986777320231,125
347,544.9726898854933,95
348,546.4457769540803,108
349,547.917938937784,121
350,549.3891758366046,126
351,550.8594876505418,90
352,552.328874379596,111
353,553.7973360237668,98
354,555.2648725830543,104
355,556.7314840574586,101
356,558.1971704469796,112
357,559.6619317516175,116
358,561.125767971372,105
359,562.5886791062434,104
360,564.0506651562315,119
361,565.5117261213364,112
362,566.971862001558,116
363,568.4310727968964,92
364,569.8893585073515,95
365,571.3467191329235,107
366,572.803154673612,103
367,574.2586651294174,116
368,575.7132505003397,107
369,577.1669107863786,120
370,578.6196459875342,90
371,580.0714561038067,97
372,581.5223411351959,116
373,582.9723010817019,86
374,584.4213359433245,126
375,585.869445720064,107
376,587.3166304119203,109
377,588.7628900188932,122
378,590.208224540983,93
379,591.6526339781894,118
380,593.0961183305128,111
381,594.5386775979529,118
382,595.9803117805095,102
383,597.4210208781831,105
384,598.8608048909734,100
385,600.2996638188805,96
386,601.7375976619044,107
387,603.1746064200449,101
388,604.6106900933023,93
389,606.0458486816764,108
390,607.4800821851672,109
391,608.9133906037748,117
392,610.3457739374992,91
393,611.7772321863404,93
394,613.2077653502982,111
395,614.6373734293728,101
396,616.0660564235643,102
397,617.4938143328725,123
398,618.9206471572974,101
399,620.346554896839,95
400,621.7715375514974,102
401,623.1955951212727,107
402,624.6187276061646,104
403,626.0409350061733,114
404,627.4622173212988,106
405,628.8825745515411,102
406,630.3020066969001,105
407,631.7205137573758,102
408,633.1380957329683,118
409,634.5547526236776,97
410,635.9704844295036,114
411,637.3852911504463,103
412,638.7991727865059,105
413,640.2121293376822,102
414,641.6241608039753,104
415,643.035267185385,112
416,644.4454484819116,105
417,645.8547046935549,122
418,647.263035820315,106
419,648.670441862192,107
420,650.0769228191855,121
421,651.4824786912959,138
422,652.887109478523,116
423,654.290815180867,126
424,655.6935957983275,96
425,657.0954513309049,121
426,658.4963817785991,123
427,659.8963871414101,116
428,661.2954674193377,119
429,662.6936226123821,124
430,664.0908527205434,108
431,665.4871577438213,103
432,666.8825376822159,114
433,668.2769925357275,121
434,669.6705223043557,126
435,671.0631269881007,115
436,672.4548065869624,123
437,673.8455611009409,124
438,675.2353905300362,112
439,676.6242948742482,137
440,678.012274133577,98
441,679.3993283080225,119
442,680.7854573975848,104
443,682.1706614022639,103
444,683.5549403220596,107
445,684.9382941569722,130
446,686.3207229070016,108
