Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,83.56
Elapsed Live Time:,77.2
Start Time:,April 24, 2023, 04:27:39
End Time:,April 24, 2023, 04:29:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,175,188,12259,-1383,0,393
2,156,169,37450,4549,9,352

Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,0
9,-9.441358024691354,30
10,-7.086419753086414,2170
11,-4.731481481481474,6077
12,-2.3765432098765373,1233
13,-0.021604938271600815,793
14,2.333333333333343,915
15,4.688271604938279,1463
16,7.043209876543216,5266
17,9.398148148148152,10150
18,11.753086419753089,9229
19,14.108024691358032,8201
20,16.46296296296297,7171
21,18.817901234567906,5727
22,21.17283950617285,4804
23,23.527777777777786,4145
24,25.882716049382722,3690
25,28.23765432098766,3431
26,30.592592592592595,3396
27,32.94753086419754,3533
28,35.30246913580248,3767
29,37.65740740740742,3846
30,40.012345679012356,4284
31,42.36728395061729,4496
32,44.72222222222223,5091
33,47.077160493827165,5610
34,49.4320987654321,6292
35,51.78703703703704,6961
36,54.141975308641975,7325
37,56.496913580246925,7775
38,58.85185185185186,7880
39,61.2067901234568,7628
40,63.561728395061735,7535
41,65.91666666666667,6963
42,68.27160493827161,6181
43,70.62654320987654,5281
44,72.9814814814815,4413
45,75.33641975308643,3588
46,77.69135802469137,3010
47,80.0462962962963,2390
48,82.40123456790124,2030
49,84.75617283950618,1791
50,87.11111111111111,1519
51,89.46604938271605,1336
52,91.82098765432099,1361
53,94.17592592592594,1256
54,96.53086419753087,1346
55,98.8858024691358,1300
56,101.24074074074076,1310
57,103.5956790123457,1212
58,105.95061728395063,1145
59,108.30555555555557,1224
60,110.66049382716051,1097
61,113.01543209876544,1037
62,115.37037037037038,981
63,117.72530864197532,882
64,120.08024691358025,886
65,122.43518518518519,857
66,124.79012345679013,894
67,127.14506172839506,869
68,129.5,892
69,131.85493827160494,866
70,134.20987654320987,891
71,136.5648148148148,952
72,138.91975308641975,969
73,141.2746913580247,917
74,143.62962962962965,932
75,145.98456790123458,986
76,148.33950617283952,991
77,150.69444444444446,971
78,153.0493827160494,960
79,155.40432098765433,950
80,157.75925925925927,974
81,160.1141975308642,895
82,162.46913580246914,873
83,164.82407407407408,880
84,167.179012345679,851
85,169.53395061728395,843
86,171.88888888888889,864
87,174.24382716049382,743
88,176.5987654320988,718
89,178.95370370370372,750
90,181.30864197530866,764
91,183.6635802469136,746
92,186.01851851851853,759
93,188.37345679012347,683
94,190.7283950617284,659
95,193.08333333333334,635
96,195.43827160493828,629
97,197.79320987654322,638
98,200.14814814814815,601
99,202.5030864197531,575
100,204.85802469135803,587
101,207.21296296296296,619
102,209.5679012345679,555
103,211.92283950617283,543
104,214.27777777777777,530
105,216.63271604938274,522
106,218.98765432098767,495
107,221.3425925925926,495
108,223.69753086419755,496
109,226.05246913580248,497
110,228.4074074074074,459
111,230.76234567901236,465
112,233.11728395061732,466
113,235.47222222222223,502
114,237.8271604938272,484
115,240.1820987654321,480
