Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,144.45
Elapsed Live Time:,143.15
Start Time:,April 24, 2023, 04:41:34
End Time:,April 24, 2023, 04:43:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,33,47,4490,1174,8,63

Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,0
9,-9.441358024691354,5
10,-7.086419753086414,204
11,-4.731481481481474,384
12,-2.3765432098765373,73
13,-0.021604938271600815,45
14,2.333333333333343,53
15,4.688271604938279,71
16,7.043209876543216,209
17,9.398148148148152,337
18,11.753086419753089,259
19,14.108024691358032,232
20,16.46296296296297,210
21,18.817901234567906,186
22,21.17283950617285,155
23,23.527777777777786,141
24,25.882716049382722,138
25,28.23765432098766,118
26,30.592592592592595,143
27,32.94753086419754,135
28,35.30246913580248,170
29,37.65740740740742,166
30,40.012345679012356,169
31,42.36728395061729,186
32,44.72222222222223,189
33,47.077160493827165,203
34,49.4320987654321,249
35,51.78703703703704,263
36,54.141975308641975,313
37,56.496913580246925,303
38,58.85185185185186,293
39,61.2067901234568,356
40,63.561728395061735,348
41,65.91666666666667,354
42,68.27160493827161,384
43,70.62654320987654,294
44,72.9814814814815,336
45,75.33641975308643,303
46,77.69135802469137,269
47,80.0462962962963,222
48,82.40123456790124,200
49,84.75617283950618,179
50,87.11111111111111,143
51,89.46604938271605,119
52,91.82098765432099,92
53,94.17592592592594,90
54,96.53086419753087,81
55,98.8858024691358,86
56,101.24074074074076,76
57,103.5956790123457,97
58,105.95061728395063,73
59,108.30555555555557,82
60,110.66049382716051,86
61,113.01543209876544,74
62,115.37037037037038,70
63,117.72530864197532,81
64,120.08024691358025,98
65,122.43518518518519,101
66,124.79012345679013,87
67,127.14506172839506,70
68,129.5,86
69,131.85493827160494,87
70,134.20987654320987,91
71,136.5648148148148,90
72,138.91975308641975,85
73,141.2746913580247,72
74,143.62962962962965,77
75,145.98456790123458,83
76,148.33950617283952,72
77,150.69444444444446,78
78,153.0493827160494,96
79,155.40432098765433,74
80,157.75925925925927,86
81,160.1141975308642,77
82,162.46913580246914,69
83,164.82407407407408,97
84,167.179012345679,76
85,169.53395061728395,71
86,171.88888888888889,79
87,174.24382716049382,80
88,176.5987654320988,72
89,178.95370370370372,83
90,181.30864197530866,75
91,183.6635802469136,70
92,186.01851851851853,76
93,188.37345679012347,71
94,190.7283950617284,86
95,193.08333333333334,74
96,195.43827160493828,84
97,197.79320987654322,52
98,200.14814814814815,73
99,202.5030864197531,69
100,204.85802469135803,52
101,207.21296296296296,67
102,209.5679012345679,49
103,211.92283950617283,78
104,214.27777777777777,59
105,216.63271604938274,62
106,218.98765432098767,60
107,221.3425925925926,46
108,223.69753086419755,56
109,226.05246913580248,55
110,228.4074074074074,65
111,230.76234567901236,51
112,233.11728395061732,55
113,235.47222222222223,54
114,237.8271604938272,44
115,240.1820987654321,41
116,242.53703703703707,55
117,244.89197530864197,44
118,247.24691358024694,39
119,249.60185185185185,43
120,251.9567901234568,48
121,254.31172839506172,49
