Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,157.72
Elapsed Live Time:,152.04
Start Time:,April 24, 2023, 03:20:35
End Time:,April 24, 2023, 03:23:13
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,0
9,-9.441358024691354,104
10,-7.086419753086414,4311
11,-4.731481481481474,9266
12,-2.3765432098765373,1679
13,-0.021604938271600815,1428
14,2.333333333333343,1502
15,4.688271604938279,1833
16,7.043209876543216,2514
17,9.398148148148152,3260
18,11.753086419753089,3530
19,14.108024691358032,3667
20,16.46296296296297,3528
21,18.817901234567906,3324
22,21.17283950617285,3023
23,23.527777777777786,2436
24,25.882716049382722,2099
25,28.23765432098766,1634
26,30.592592592592595,1209
27,32.94753086419754,923
28,35.30246913580248,814
29,37.65740740740742,736
30,40.012345679012356,703
31,42.36728395061729,688
32,44.72222222222223,672
33,47.077160493827165,729
34,49.4320987654321,668
35,51.78703703703704,735
36,54.141975308641975,709
37,56.496913580246925,714
38,58.85185185185186,691
39,61.2067901234568,654
40,63.561728395061735,617
41,65.91666666666667,570
42,68.27160493827161,553
43,70.62654320987654,535
44,72.9814814814815,541
45,75.33641975308643,496
46,77.69135802469137,493
47,80.0462962962963,485
48,82.40123456790124,448
49,84.75617283950618,487
50,87.11111111111111,459
51,89.46604938271605,502
52,91.82098765432099,493
53,94.17592592592594,480
54,96.53086419753087,493
55,98.8858024691358,478
56,101.24074074074076,485
57,103.5956790123457,505
58,105.95061728395063,487
59,108.30555555555557,517
60,110.66049382716051,481
61,113.01543209876544,494
62,115.37037037037038,473
63,117.72530864197532,508
64,120.08024691358025,522
65,122.43518518518519,479
66,124.79012345679013,472
67,127.14506172839506,472
68,129.5,537
69,131.85493827160494,463
70,134.20987654320987,511
71,136.5648148148148,526
72,138.91975308641975,489
73,141.2746913580247,480
74,143.62962962962965,513
75,145.98456790123458,509
76,148.33950617283952,559
77,150.69444444444446,467
78,153.0493827160494,497
79,155.40432098765433,483
80,157.75925925925927,505
81,160.1141975308642,514
82,162.46913580246914,500
83,164.82407407407408,531
84,167.179012345679,493
85,169.53395061728395,497
86,171.88888888888889,540
87,174.24382716049382,509
88,176.5987654320988,536
89,178.95370370370372,550
90,181.30864197530866,527
91,183.6635802469136,557
92,186.01851851851853,551
93,188.37345679012347,555
94,190.7283950617284,550
95,193.08333333333334,594
96,195.43827160493828,585
97,197.79320987654322,609
98,200.14814814814815,658
99,202.5030864197531,675
100,204.85802469135803,602
101,207.21296296296296,689
102,209.5679012345679,640
103,211.92283950617283,667
104,214.27777777777777,654
105,216.63271604938274,658
106,218.98765432098767,655
107,221.3425925925926,674
108,223.69753086419755,651
109,226.05246913580248,604
110,228.4074074074074,700
111,230.76234567901236,623
112,233.11728395061732,636
113,235.47222222222223,697
114,237.8271604938272,630
115,240.1820987654321,651
116,242.53703703703707,581
117,244.89197530864197,671
118,247.24691358024694,631
119,249.60185185185185,567
120,251.9567901234568,668
121,254.31172839506172,611
