Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,118.7
Elapsed Live Time:,112.9
Start Time:,April 26, 2023, 01:27:26
End Time:,April 26, 2023, 01:29:25
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,48,71,71964,42719,12,108
2,141,180,34723,18662,19,345
3,100,125,18091,4349,15,235
4,330,378,9294,838,21,799
5,467,511,6217,1176,18,1120
6,590,646,2648,652,12,1422

Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,25
9,-9.441358024691354,1889
10,-7.086419753086414,5397
11,-4.731481481481474,1186
12,-2.3765432098765373,981
13,-0.021604938271600815,1139
14,2.333333333333343,1454
15,4.688271604938279,2508
16,7.043209876543216,8910
17,9.398148148148152,14224
18,11.753086419753089,14633
19,14.108024691358032,13912
20,16.46296296296297,12599
21,18.817901234567906,10837
22,21.17283950617285,8713
23,23.527777777777786,6906
24,25.882716049382722,5377
25,28.23765432098766,4089
26,30.592592592592595,3111
27,32.94753086419754,2424
28,35.30246913580248,1991
29,37.65740740740742,1572
30,40.012345679012356,1382
31,42.36728395061729,1293
32,44.72222222222223,1272
33,47.077160493827165,1288
34,49.4320987654321,1258
35,51.78703703703704,1374
36,54.141975308641975,1358
37,56.496913580246925,1345
38,58.85185185185186,1341
39,61.2067901234568,1395
40,63.561728395061735,1500
41,65.91666666666667,1432
42,68.27160493827161,1371
43,70.62654320987654,1414
44,72.9814814814815,1383
45,75.33641975308643,1420
46,77.69135802469137,1358
47,80.0462962962963,1364
48,82.40123456790124,1443
49,84.75617283950618,1618
50,87.11111111111111,1856
51,89.46604938271605,2136
52,91.82098765432099,2447
53,94.17592592592594,2801
54,96.53086419753087,3338
55,98.8858024691358,3878
56,101.24074074074076,4345
57,103.5956790123457,4620
58,105.95061728395063,4967
59,108.30555555555557,4865
60,110.66049382716051,4991
61,113.01543209876544,4772
62,115.37037037037038,4404
63,117.72530864197532,3886
64,120.08024691358025,3360
65,122.43518518518519,2783
66,124.79012345679013,2433
67,127.14506172839506,1986
68,129.5,1668
69,131.85493827160494,1311
70,134.20987654320987,1087
71,136.5648148148148,969
72,138.91975308641975,835
73,141.2746913580247,851
74,143.62962962962965,798
75,145.98456790123458,810
76,148.33950617283952,816
77,150.69444444444446,830
78,153.0493827160494,814
79,155.40432098765433,854
80,157.75925925925927,886
81,160.1141975308642,890
82,162.46913580246914,864
83,164.82407407407408,786
84,167.179012345679,849
85,169.53395061728395,776
86,171.88888888888889,791
87,174.24382716049382,747
88,176.5987654320988,681
89,178.95370370370372,625
90,181.30864197530866,620
91,183.6635802469136,575
92,186.01851851851853,538
93,188.37345679012347,535
94,190.7283950617284,487
95,193.08333333333334,496
96,195.43827160493828,541
97,197.79320987654322,500
98,200.14814814814815,456
99,202.5030864197531,512
100,204.85802469135803,517
101,207.21296296296296,516
102,209.5679012345679,539
103,211.92283950617283,510
104,214.27777777777777,563
105,216.63271604938274,575
106,218.98765432098767,633
107,221.3425925925926,681
108,223.69753086419755,710
109,226.05246913580248,751
