Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,112.29
Elapsed Live Time:,108.6
Start Time:,April 24, 2023, 02:55:25
End Time:,April 24, 2023, 03:06:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,220,241,44873,11641,16,512
2,543,566,4938,629,7,1275
4,297,464,17808,2099,14,868

Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,0
9,-9.441358024691354,24
10,-7.086419753086414,1498
11,-4.731481481481474,2480
12,-2.3765432098765373,366
13,-0.021604938271600815,292
14,2.333333333333343,354
15,4.688271604938279,436
16,7.043209876543216,807
17,9.398148148148152,1213
18,11.753086419753089,1234
19,14.108024691358032,1129
20,16.46296296296297,1020
21,18.817901234567906,949
22,21.17283950617285,916
23,23.527777777777786,844
24,25.882716049382722,806
25,28.23765432098766,762
26,30.592592592592595,772
27,32.94753086419754,843
28,35.30246913580248,778
29,37.65740740740742,885
30,40.012345679012356,901
31,42.36728395061729,850
32,44.72222222222223,933
33,47.077160493827165,916
34,49.4320987654321,1009
35,51.78703703703704,860
36,54.141975308641975,928
37,56.496913580246925,908
38,58.85185185185186,900
39,61.2067901234568,939
40,63.561728395061735,828
41,65.91666666666667,816
42,68.27160493827161,721
43,70.62654320987654,724
44,72.9814814814815,730
45,75.33641975308643,703
46,77.69135802469137,704
47,80.0462962962963,665
48,82.40123456790124,655
49,84.75617283950618,654
50,87.11111111111111,624
51,89.46604938271605,665
52,91.82098765432099,683
53,94.17592592592594,599
54,96.53086419753087,701
55,98.8858024691358,642
56,101.24074074074076,659
57,103.5956790123457,626
58,105.95061728395063,647
59,108.30555555555557,619
60,110.66049382716051,635
61,113.01543209876544,662
62,115.37037037037038,676
63,117.72530864197532,628
64,120.08024691358025,641
65,122.43518518518519,670
66,124.79012345679013,635
67,127.14506172839506,626
68,129.5,685
69,131.85493827160494,680
70,134.20987654320987,624
71,136.5648148148148,693
72,138.91975308641975,675
73,141.2746913580247,723
74,143.62962962962965,785
75,145.98456790123458,668
76,148.33950617283952,697
77,150.69444444444446,757
78,153.0493827160494,733
79,155.40432098765433,797
80,157.75925925925927,778
81,160.1141975308642,794
82,162.46913580246914,794
83,164.82407407407408,806
84,167.179012345679,828
85,169.53395061728395,756
86,171.88888888888889,823
87,174.24382716049382,865
88,176.5987654320988,839
89,178.95370370370372,757
90,181.30864197530866,854
91,183.6635802469136,836
92,186.01851851851853,821
93,188.37345679012347,841
94,190.7283950617284,818
95,193.08333333333334,819
96,195.43827160493828,793
97,197.79320987654322,850
98,200.14814814814815,881
99,202.5030864197531,835
100,204.85802469135803,822
101,207.21296296296296,847
102,209.5679012345679,808
103,211.92283950617283,805
104,214.27777777777777,795
105,216.63271604938274,800
106,218.98765432098767,779
107,221.3425925925926,758
108,223.69753086419755,785
109,226.05246913580248,799
110,228.4074074074074,797
111,230.76234567901236,787
112,233.11728395061732,813
113,235.47222222222223,720
114,237.8271604938272,793
115,240.1820987654321,737
116,242.53703703703707,767
117,244.89197530864197,781
