Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,206.29
Elapsed Live Time:,202.07
Start Time:,April 24, 2023, 04:35:44
End Time:,April 24, 2023, 04:39:11
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,304,306,3334,3,0,687
2,282,303,32089,6160,14,659

Channel Data:
Channel,Energy,Counts
0,-30.635802469135797,0
1,-28.28086419753086,0
2,-25.92592592592592,0
3,-23.57098765432098,0
4,-21.216049382716044,0
5,-18.861111111111107,0
6,-16.506172839506167,0
7,-14.151234567901227,0
8,-11.79629629629629,0
9,-9.441358024691354,18
10,-7.086419753086414,1535
11,-4.731481481481474,4324
12,-2.3765432098765373,751
13,-0.021604938271600815,514
14,2.333333333333343,573
15,4.688271604938279,702
16,7.043209876543216,1460
17,9.398148148148152,2525
18,11.753086419753089,2328
19,14.108024691358032,2141
20,16.46296296296297,1902
21,18.817901234567906,1642
22,21.17283950617285,1372
23,23.527777777777786,1138
24,25.882716049382722,1000
25,28.23765432098766,819
26,30.592592592592595,820
27,32.94753086419754,744
28,35.30246913580248,819
29,37.65740740740742,836
30,40.012345679012356,803
31,42.36728395061729,892
32,44.72222222222223,902
33,47.077160493827165,836
34,49.4320987654321,878
35,51.78703703703704,870
36,54.141975308641975,842
37,56.496913580246925,886
38,58.85185185185186,779
39,61.2067901234568,819
40,63.561728395061735,800
41,65.91666666666667,765
42,68.27160493827161,724
43,70.62654320987654,677
44,72.9814814814815,662
45,75.33641975308643,625
46,77.69135802469137,626
47,80.0462962962963,576
48,82.40123456790124,582
49,84.75617283950618,600
50,87.11111111111111,588
51,89.46604938271605,598
52,91.82098765432099,590
53,94.17592592592594,568
54,96.53086419753087,599
55,98.8858024691358,553
56,101.24074074074076,563
57,103.5956790123457,604
58,105.95061728395063,649
59,108.30555555555557,643
60,110.66049382716051,618
61,113.01543209876544,598
62,115.37037037037038,638
63,117.72530864197532,572
64,120.08024691358025,611
65,122.43518518518519,578
66,124.79012345679013,602
67,127.14506172839506,600
68,129.5,640
69,131.85493827160494,609
70,134.20987654320987,572
71,136.5648148148148,617
72,138.91975308641975,616
73,141.2746913580247,625
74,143.62962962962965,567
75,145.98456790123458,567
76,148.33950617283952,590
77,150.69444444444446,576
78,153.0493827160494,690
79,155.40432098765433,628
80,157.75925925925927,678
81,160.1141975308642,655
82,162.46913580246914,697
83,164.82407407407408,696
84,167.179012345679,698
85,169.53395061728395,701
86,171.88888888888889,720
87,174.24382716049382,711
88,176.5987654320988,728
89,178.95370370370372,775
90,181.30864197530866,729
91,183.6635802469136,746
92,186.01851851851853,754
93,188.37345679012347,752
94,190.7283950617284,778
95,193.08333333333334,728
96,195.43827160493828,767
97,197.79320987654322,751
98,200.14814814814815,701
99,202.5030864197531,727
100,204.85802469135803,736
101,207.21296296296296,697
102,209.5679012345679,709
103,211.92283950617283,708
104,214.27777777777777,728
105,216.63271604938274,716
106,218.98765432098767,704
107,221.3425925925926,650
108,223.69753086419755,627
109,226.05246913580248,691
110,228.4074074074074,675
111,230.76234567901236,677
112,233.11728395061732,699
113,235.47222222222223,686
114,237.8271604938272,658
115,240.1820987654321,651
116,242.53703703703707,630
117,244.89197530864197,600
118,247.24691358024694,612
